run_dir,strategy,partition_id,partition_mode,x_split_km,repeat_id,t90_h,t95_h,t99_h,run_end_h
20260405_163147_72890_8695,strip_markov_dynamic,gradient_120,gradient,120.0,3,16.470000,19.530000,25.140000,29.570000
20260405_163157_72972_2216,strip_markov_dynamic,gradient_120,gradient,120.0,4,16.620000,19.710000,23.190000,31.150000
20260405_163208_73115_6268,strip_markov_dynamic,gradient_120,gradient,120.0,5,17.890000,19.730000,22.790000,29.310000
20260405_163218_73197_4519,static_strip,gradient_130,gradient,130.0,1,15.320000,25.710000,27.970000,28.480000
20260405_163227_73282_9050,static_strip,gradient_130,gradient,130.0,2,15.320000,25.710000,27.980000,28.480000
20260405_163237_73355_1709,static_strip,gradient_130,gradient,130.0,3,15.320000,25.710000,27.980000,28.480000
20260405_163246_73444_6034,static_strip,gradient_130,gradient,130.0,4,15.320000,25.710000,27.980000,28.480000
20260405_163256_73529_7491,static_strip,gradient_130,gradient,130.0,5,15.320000,25.710000,27.970000,28.480000
20260405_163306_73676_1431,strip_markov,gradient_130,gradient,130.0,1,15.750000,26.380000,28.630000,35.490000
20260405_163316_73750_9706,strip_markov,gradient_130,gradient,130.0,2,15.750000,26.380000,28.620000,35.480000
20260405_163326_73835_8871,strip_markov,gradient_130,gradient,130.0,3,15.760000,26.380000,28.640000,35.500000
20260405_163336_73913_1585,strip_markov,gradient_130,gradient,130.0,4,15.750000,26.370000,28.640000,35.500000
20260405_163347_74002_3042,strip_markov,gradient_130,gradient,130.0,5,15.750000,26.380000,28.640000,35.500000
20260405_163357_74095_8286,strip_markov_dynamic,gradient_130,gradient,130.0,1,15.780000,17.840000,24.070000,29.590000
20260405_163407_74238_2377,strip_markov_dynamic,gradient_130,gradient,130.0,2,17.140000,20.530000,22.860000,29.570000
20260405_163417_74316_2059,strip_markov_dynamic,gradient_130,gradient,130.0,3,16.500000,19.380000,22.730000,28.880000
20260405_163427_74400_2446,strip_markov_dynamic,gradient_130,gradient,130.0,4,15.970000,18.960000,23.060000,29.300000
20260405_163437_74493_7981,strip_markov_dynamic,gradient_130,gradient,130.0,5,15.700000,17.820000,29.170000,35.480000
20260405_163447_74571_5051,static_strip,gradient_140,gradient,140.0,1,14.920000,15.690000,27.040000,28.400000
20260405_163457_74653_3850,static_strip,gradient_140,gradient,140.0,2,14.920000,15.690000,27.040000,28.390000
20260405_163506_74798_7157,static_strip,gradient_140,gradient,140.0,3,14.920000,15.690000,27.040000,28.400000
20260405_163516_74888_9519,static_strip,gradient_140,gradient,140.0,4,14.920000,15.690000,27.040000,28.400000
20260405_163525_74975_5988,static_strip,gradient_140,gradient,140.0,5,14.920000,15.690000,27.040000,28.400000
20260405_163535_75049_9402,strip_markov,gradient_140,gradient,140.0,1,15.250000,16.230000,28.620000,35.470000
20260405_163545_75140_1746,strip_markov,gradient_140,gradient,140.0,2,15.250000,16.230000,28.640000,35.470000
20260405_163555_75227_4136,strip_markov,gradient_140,gradient,140.0,3,15.250000,16.230000,28.620000,35.470000
20260405_163605_75383_8777,strip_markov,gradient_140,gradient,140.0,4,15.250000,16.230000,28.620000,35.470000
20260405_163615_75459_6010,strip_markov,gradient_140,gradient,140.0,5,15.250000,16.230000,28.600000,35.470000
20260405_163625_75542_8148,strip_markov_dynamic,gradient_140,gradient,140.0,1,15.540000,18.030000,22.520000,29.270000
20260405_163635_75613_3281,strip_markov_dynamic,gradient_140,gradient,140.0,2,16.090000,19.510000,22.880000,29.620000
20260405_163645_75711_9830,strip_markov_dynamic,gradient_140,gradient,140.0,3,15.590000,17.360000,22.950000,29.200000
20260405_163655_75797_8396,strip_markov_dynamic,gradient_140,gradient,140.0,4,15.500000,17.020000,22.150000,26.340000
20260405_163705_75935_2470,strip_markov_dynamic,gradient_140,gradient,140.0,5,15.670000,17.350000,21.750000,29.460000
20260405_163714_76026_8552,static_strip,gradient_150,gradient,150.0,1,14.690000,15.380000,16.170000,16.390000
20260405_163724_76110_8487,static_strip,gradient_150,gradient,150.0,2,14.690000,15.380000,16.170000,16.390000
20260405_163733_76189_9245,static_strip,gradient_150,gradient,150.0,3,14.690000,15.380000,16.170000,16.390000
20260405_163742_76262_3712,static_strip,gradient_150,gradient,150.0,4,14.690000,15.380000,16.170000,16.390000
20260405_163751_76338_7044,static_strip,gradient_150,gradient,150.0,5,14.690000,15.380000,16.170000,16.390000
20260405_163800_76425_6399,strip_markov,gradient_150,gradient,150.0,1,14.980000,15.770000,28.990000,36.820000
20260405_163810_76563_9464,strip_markov,gradient_150,gradient,150.0,2,14.980000,15.770000,28.980000,36.870000
20260405_163820_76655_6689,strip_markov,gradient_150,gradient,150.0,3,14.980000,15.780000,29.020000,36.850000
20260405_163830_76737_8519,strip_markov,gradient_150,gradient,150.0,4,14.980000,15.780000,28.970000,36.850000
20260405_163840_76825_3928,strip_markov,gradient_150,gradient,150.0,5,14.980000,15.770000,28.970000,36.860000
20260405_163850_76918_2053,strip_markov_dynamic,gradient_150,gradient,150.0,1,18.090000,20.570000,22.850000,28.280000
20260405_163900_77011_8624,strip_markov_dynamic,gradient_150,gradient,150.0,2,15.720000,19.410000,22.710000,27.140000
20260405_163910_77152_9316,strip_markov_dynamic,gradient_150,gradient,150.0,3,15.640000,18.840000,22.840000,30.220000
20260405_163920_77228_9587,strip_markov_dynamic,gradient_150,gradient,150.0,4,17.270000,20.170000,22.620000,27.700000
20260405_163930_77319_1223,strip_markov_dynamic,gradient_150,gradient,150.0,5,15.600000,17.660000,21.720000,27.790000
20260405_163940_77403_4393,static_strip,gradient_160,gradient,160.0,1,14.600000,15.290000,16.130000,16.450000
20260405_163949_77478_7410,static_strip,gradient_160,gradient,160.0,2,14.600000,15.290000,16.130000,16.450000
20260405_163958_77560_8600,static_strip,gradient_160,gradient,160.0,3,14.600000,15.290000,16.130000,16.450000
20260405_164007_77715_3038,static_strip,gradient_160,gradient,160.0,4,14.600000,15.290000,16.130000,16.450000
20260405_164016_77801_6343,static_strip,gradient_160,gradient,160.0,5,14.600000,15.290000,16.130000,16.450000
20260405_164025_77884_5572,strip_markov,gradient_160,gradient,160.0,1,14.960000,15.830000,30.620000,38.260000
20260405_164035_77957_9024,strip_markov,gradient_160,gradient,160.0,2,14.960000,15.830000,30.620000,38.260000
20260405_164046_78041_1425,strip_markov,gradient_160,gradient,160.0,3,14.960000,15.830000,30.620000,38.230000
20260405_164056_78136_8321,strip_markov,gradient_160,gradient,160.0,4,14.960000,15.830000,30.580000,38.220000
20260405_164106_78273_6419,strip_markov,gradient_160,gradient,160.0,5,14.960000,15.830000,30.590000,38.210000
20260405_164116_78352_9877,strip_markov_dynamic,gradient_160,gradient,160.0,1,15.860000,18.730000,22.510000,30.630000
20260405_164126_78442_5739,strip_markov_dynamic,gradient_160,gradient,160.0,2,17.490000,20.060000,22.480000,26.440000
20260405_164136_78511_9474,strip_markov_dynamic,gradient_160,gradient,160.0,3,15.230000,16.530000,22.290000,29.120000
20260405_164146_78599_4243,strip_markov_dynamic,gradient_160,gradient,160.0,4,17.130000,20.920000,24.780000,27.450000
20260405_164156_78681_9832,strip_markov_dynamic,gradient_160,gradient,160.0,5,16.320000,18.360000,22.950000,26.570000
20260405_164206_78821_8043,static_strip,gradient_170,gradient,170.0,1,15.300000,25.710000,27.970000,28.480000
20260405_164215_78906_5351,static_strip,gradient_170,gradient,170.0,2,15.300000,25.710000,27.970000,28.480000
20260405_164225_78994_8037,static_strip,gradient_170,gradient,170.0,3,15.300000,25.710000,27.970000,28.480000
20260405_164235_79066_4164,static_strip,gradient_170,gradient,170.0,4,15.300000,25.710000,27.970000,28.480000
20260405_164244_79140_1972,static_strip,gradient_170,gradient,170.0,5,15.300000,25.710000,27.970000,28.480000
20260405_164254_79227_7562,strip_markov,gradient_170,gradient,170.0,1,15.950000,26.130000,28.300000,31.970000
20260405_164304_79366_1457,strip_markov,gradient_170,gradient,170.0,2,15.940000,26.130000,28.300000,31.990000
20260405_164314_79461_5411,strip_markov,gradient_170,gradient,170.0,3,15.960000,26.130000,28.300000,31.980000
20260405_164324_79545_8266,strip_markov,gradient_170,gradient,170.0,4,15.920000,26.130000,28.300000,31.980000
20260405_164335_79617_5096,strip_markov,gradient_170,gradient,170.0,5,15.920000,26.130000,28.300000,31.970000
20260405_164345_79716_3051,strip_markov_dynamic,gradient_170,gradient,170.0,1,15.770000,17.960000,19.820000,27.850000
20260405_164355_79799_5312,strip_markov_dynamic,gradient_170,gradient,170.0,2,15.380000,17.300000,21.470000,26.160000
20260405_164404_79940_6291,strip_markov_dynamic,gradient_170,gradient,170.0,3,15.780000,18.410000,25.310000,31.650000
20260405_164414_80020_3425,strip_markov_dynamic,gradient_170,gradient,170.0,4,15.430000,18.930000,23.240000,28.910000
20260405_164424_80105_2336,strip_markov_dynamic,gradient_170,gradient,170.0,5,15.420000,18.920000,23.220000,28.870000
20260405_164434_80175_3632,static_strip,gradient_180,gradient,180.0,1,15.300000,17.500000,27.040000,28.390000
20260405_164444_80260_9621,static_strip,gradient_180,gradient,180.0,2,15.300000,17.500000,27.040000,28.390000
20260405_164453_80350_6942,static_strip,gradient_180,gradient,180.0,3,15.300000,17.500000,27.030000,28.390000
20260405_164503_80490_8310,static_strip,gradient_180,gradient,180.0,4,15.300000,17.500000,27.040000,28.390000
20260405_164512_80585_1663,static_strip,gradient_180,gradient,180.0,5,15.300000,17.500000,27.040000,28.390000
20260405_164522_80673_8737,strip_markov,gradient_180,gradient,180.0,1,15.840000,18.290000,27.940000,31.890000
20260405_164532_80747_5198,strip_markov,gradient_180,gradient,180.0,2,15.830000,18.280000,27.940000,31.910000
20260405_164542_80836_7934,strip_markov,gradient_180,gradient,180.0,3,15.830000,18.280000,27.930000,31.890000
20260405_164552_80921_3249,strip_markov,gradient_180,gradient,180.0,4,15.830000,18.280000,27.940000,31.910000
20260405_164602_81059_1803,strip_markov,gradient_180,gradient,180.0,5,15.830000,18.290000,27.940000,31.890000
20260405_164612_81145_3388,strip_markov_dynamic,gradient_180,gradient,180.0,1,15.800000,17.960000,21.330000,28.330000
20260405_164622_81228_3450,strip_markov_dynamic,gradient_180,gradient,180.0,2,16.150000,18.510000,21.730000,27.380000
20260405_164632_81304_7837,strip_markov_dynamic,gradient_180,gradient,180.0,3,17.260000,19.090000,22.610000,32.870000
20260405_164642_81379_3397,strip_markov_dynamic,gradient_180,gradient,180.0,4,16.400000,18.950000,22.360000,28.940000
20260405_164652_81477_9972,strip_markov_dynamic,gradient_180,gradient,180.0,5,15.480000,18.650000,22.180000,31.710000
20260405_164702_81627_8187,static_strip,gradient_190,gradient,190.0,1,15.600000,17.360000,18.570000,18.840000
20260405_164712_81702_6551,static_strip,gradient_190,gradient,190.0,2,15.600000,17.360000,18.570000,18.840000
20260405_164721_81777_3301,static_strip,gradient_190,gradient,190.0,3,15.600000,17.360000,18.570000,18.840000
20260405_164730_81867_5765,static_strip,gradient_190,gradient,190.0,4,15.600000,17.360000,18.570000,18.840000
20260405_164739_81941_3034,static_strip,gradient_190,gradient,190.0,5,15.600000,17.360000,18.570000,18.840000
20260405_164748_82028_5952,strip_markov,gradient_190,gradient,190.0,1,16.340000,17.890000,25.500000,34.870000
20260405_164759_82118_3401,strip_markov,gradient_190,gradient,190.0,2,16.340000,17.890000,25.520000,34.900000
20260405_164809_82255_5838,strip_markov,gradient_190,gradient,190.0,3,16.340000,17.890000,25.520000,34.870000
20260405_164819_82333_9564,strip_markov,gradient_190,gradient,190.0,4,16.340000,17.890000,25.500000,34.900000
20260405_164829_82427_6556,strip_markov,gradient_190,gradient,190.0,5,16.350000,17.890000,25.500000,34.860000
20260405_164839_86142_9784,strip_markov_dynamic,gradient_190,gradient,190.0,1,17.150000,19.310000,22.750000,29.350000
20260405_164849_86215_3802,strip_markov_dynamic,gradient_190,gradient,190.0,2,17.310000,18.750000,21.770000,28.240000
20260405_164859_86304_3666,strip_markov_dynamic,gradient_190,gradient,190.0,3,16.470000,19.570000,23.540000,28.410000
20260405_164910_86455_1539,strip_markov_dynamic,gradient_190,gradient,190.0,4,17.760000,19.600000,22.610000,31.660000
20260405_164920_86550_8143,strip_markov_dynamic,gradient_190,gradient,190.0,5,17.140000,18.580000,21.650000,28.250000
20260405_164930_86645_5728,static_strip,gradient_200,gradient,200.0,1,16.610000,17.740000,18.650000,18.860000
20260405_164939_86719_6127,static_strip,gradient_200,gradient,200.0,2,16.610000,17.740000,18.650000,18.860000
20260405_164949_86802_5819,static_strip,gradient_200,gradient,200.0,3,16.610000,17.740000,18.650000,18.860000
20260405_164958_86888_5246,static_strip,gradient_200,gradient,200.0,4,16.610000,17.740000,18.650000,18.860000
